Year,TRI Facility ID,Facility Name,ADDRESS,CITY,COUNTY,STATE,ZIP
2011,78380TXSCLPETRO,US ECOLOGY TEXAS INC,3277 COUNTY RD 69,ROBSTOWN,NUECES,TX,78380
2011,78380TXSCLPETRO,US ECOLOGY TEXAS INC,3277 COUNTY RD 69,ROBSTOWN,NUECES,TX,78380
2011,78380TXSCLPETRO,US ECOLOGY TEXAS INC,3277 COUNTY RD 69,ROBSTOWN,NUECES,TX,78380
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
2011,78410CCPCC1501M,EQUISTAR CHEMICALS LP,1501 MCKINZIE RD,CORPUS CHRISTI,NUECES,TX,784101501
